date,LMSNDY,return_1d,discrete_1d,score,horizon,discrete_score
2017-07-05,19825.0,1.3366960907944536,1,11.183697582952886,1,0
2017-07-19,20255.0,-0.14811157738829905,0,15.437690899071956,1,0
2017-07-20,20225.0,1.0630407911001338,1,15.666528722788119,1,0
2017-07-25,20500.0,0.0,0,5.649307614888136,1,0
2017-07-26,20500.0,1.560975609756099,1,22.84170437319138,1,0
2017-07-27,20820.0,-0.4322766570605152,-1,26.84702971231898,1,0
2017-08-09,20295.0,0.5075141660507487,1,11.844193805318982,1,0
2017-08-15,20250.0,-0.5679012345679024,-1,35.02325921741187,1,0
2017-08-16,20135.0,0.8691333498882514,1,38.75208235875261,1,0
2017-08-30,20800.0,0.3509615384615472,1,11.927145326999042,1,0
2017-09-14,20632.0,0.16479255525396752,0,11.944948880880306,1,0
2017-09-15,20666.0,0.8419626439562622,1,31.4072703158306,1,0
2017-09-26,20911.0,-0.10042561331357057,0,25.603823144746016,1,0
2017-09-27,20890.0,-0.6941120153183378,-1,12.825908070905895,1,0
2017-09-28,20745.0,0.4820438659917992,1,18.05530781673386,1,0
2017-10-19,19927.0,-1.3549455512621102,-1,4.349963535895661,1,0
2017-10-24,19877.0,0.6137747144941308,1,22.590773015775234,1,0
2017-10-25,19999.0,-0.09500475023751508,0,18.64570899787245,1,0
2017-11-01,19535.0,1.2541592014333247,1,15.635625009236026,1,0
2017-11-02,19780.0,-0.4954499494438824,-1,8.032749646702714,1,0
2017-11-23,19488.0,0.43616584564860617,1,8.810307262817734,1,0
2017-12-06,19555.0,-0.3068268984914302,0,13.311984140513914,1,0
2017-12-07,19495.0,0.13849705052577654,0,21.222330803611808,1,0
2017-12-12,19232.0,-1.996672212978368,-1,3.7609399911320494,1,0
2017-12-13,18848.0,0.6048387096774244,1,6.262843382150693,1,0
2017-12-14,18962.0,1.118025524733679,1,6.262843382150693,1,0
